Measurement_ID,Roll (deg),Pitch (deg),Heading (deg),Yaw (deg),Yaw Rate (deg/s),Velocity (m/s),Steering Angle (deg),Relative Altitude (m),Altitude AMSL (m),Altitude Tuning,Altitude Tuning Setpoint,X-Track Error (m),Travelled Distance (m),Run Time,Distance To Home (m),Mission Index,Heading To Next WP (deg),Heading To Home (deg),Throttle (%),Hobbs,Clock Time,Clock Date,GPS Latitude,GPS Longitude,GPS MGRS,GPS HDOP,GPS VDOP,GPS Course,Satellite Locks,Satellite Count,Longitudinal Position (m),Lateral Position (m),Vertical Position (m),Longitudinal Velocity (m/s),Absolute Longitudinal Velocity (m/s),Lateral Velocity (m/s),Absolute Lateral Velocity (m/s),Vertical Velocity (m/s),Temperature (F),Longitudinal Vibration,Lateral Vibration,Vertical Vibration,Data Type
1,3.6,6.2,121,-59,0,0.6,75.79939382,764.9,764.5,-1.45,-1.45,2.213,464.5,0:03:25,40.2,2,98.0,259.0,59,2:01:43,15:08:28,4/1/2022,32.2312767,-110.9452798,12SWA 05155 66072,2.0,3.0,350.8,3,5,9.2,39.0,0.5,-0.4,0.4,0.3,0.3,0.1,105.66,3.6,4.3,4.3,0
1,3.6,6.2,121,-59,0,0.6,74.83409042,765.0,764.7,-1.45,-1.45,2.066,466.9,0:03:26,41.0,2,98.0,262.0,59,2:01:43,15:08:29,4/1/2022,32.2312707,-110.9452618,12SWA 05157 66072,2.1,3.6,356.1,3,5,7.0,40.1,0.3,-0.3,0.3,0.2,0.2,0.0,105.66,3.9,6.1,11.4,0
1,4.1,4.4,133,-47,12,0.4,74.83409042,765.1,764.8,-1.24,-1.45,2.066,466.9,0:03:27,41.2,2,98.0,262.0,60,2:01:43,15:08:30,4/1/2022,32.2312852,-110.9452483,12SWA 05158 66073,9.0,12.0,356.1,1,0,6.8,40.4,0.3,-0.3,0.3,-0.1,0.1,0.1,105.64,3.1,4.6,5.2,0
1,-9.2,3.4,205,25,72,3.6,78.85299347,765.5,765.1,-0.86,-0.86,2.842,466.9,0:03:28,41.3,2,98.0,261.0,60,2:01:43,15:08:31,4/1/2022,32.2313239,-110.9452122,12SWA 05161 66077,9.0,11.9,356.1,1,0,7.5,40.4,-0.1,0.6,0.6,-2.5,2.5,0.0,105.57,5.2,4.8,8.3,0
1,11.0,4.6,190,10,-15,3.4,84.47941268,765.6,765.2,-0.78,-0.78,5.794,469.9,0:03:29,37.6,2,98.0,258.0,60,2:01:43,15:08:32,4/1/2022,32.231348,-110.9451897,12SWA 05164 66080,2.1,3.6,356.1,3,5,9.1,36.3,-0.2,1.3,1.3,-3.9,3.9,0.0,105.51,4.2,4.9,6.8,0
1,7.9,2.9,99,-81,-91,4.2,85.09916577,765.7,765.4,-0.66,-0.76,6.531,472.5,0:03:30,36.4,2,98.0,254.0,60,2:01:43,15:08:33,4/1/2022,32.2313625,-110.9451761,12SWA 05165 66082,2.1,3.6,356.1,3,5,11.2,34.6,-0.4,4.3,4.3,0.9,0.9,-0.1,105.48,4.0,4.0,5.0,0
1,-6.1,5.5,125,-55,26,4.0,84.34855734,765.7,765.4,-0.64,-0.65,5.659,476.2,0:03:31,38.5,2,98.0,249.0,60,2:01:43,15:08:34,4/1/2022,32.2313625,-110.9451761,12SWA 05165 66082,1.9,2.7,356.1,3,5,15.2,35.4,-0.4,4.5,4.5,0.8,0.8,0.0,105.48,5.7,4.4,6.2,0
1,-11.1,5.4,156,-24,31,3.1,77.76746199,765.7,765.4,-0.66,-0.66,2.583,479.7,0:03:32,39.3,2,98.0,247.0,60,2:01:43,15:08:35,4/1/2022,32.2314012,-110.9451401,12SWA 05168 66086,1.9,2.7,356.1,3,5,16.7,35.7,-0.4,3.4,3.4,0.2,0.2,0.0,105.4,4.1,4.2,6.0,0
1,7.9,2.5,225,45,69,6.7,83.44705344,765.6,765.3,-0.67,-0.67,4.875,487.9,0:03:33,37.0,2,98.0,235.0,60,2:01:43,15:08:36,4/1/2022,32.2314253,-110.9451175,12SWA 05170 66089,100.0,100.0,356.1,3,5,19.2,33.7,-0.4,4.7,4.7,-5.4,5.4,0.0,105.33,3.5,5.2,4.6,0
1,-8.3,4.8,134,-46,-91,0.0,-89.95770727,765.6,765.3,-766.61,-765.54,-758.656,487.9,0:03:34,37.0,2,98.0,235.0,0,2:01:43,15:08:37,4/1/2022,32.2314302,-110.945113,12SWA 05171 66089,2.1,3.6,356.1,1,0,19.2,33.7,-0.4,4.7,4.7,-5.4,5.4,0.0,105.24,4.5,3.2,6.5,1
1,-3.9,2.6,162,-18,28,0.0,-89.95770727,0.2,-0.2,-766.42,-765.54,-758.656,522.1,0:03:35,44.8,2,98.0,283.0,0,2:01:43,15:08:38,4/1/2022,34.808884,-104.886245,13SEU 10404 51855,6.8,11.9,356.1,1,0,19.2,33.7,-0.4,4.7,4.7,-5.4,5.4,0.0,105.12,1.7,1.0,3.5,1
1,-1.4,0.2,172,-8,10,0.0,-89.95770727,-0.1,-0.5,-766.3,-765.54,-758.656,522.1,0:03:36,44.8,2,98.0,283.0,0,2:01:43,15:08:39,4/1/2022,34.808884,-104.886245,13SEU 10404 51855,6.8,11.9,356.1,1,0,19.2,33.7,-0.4,4.7,4.7,-5.4,5.4,0.0,105.08,0.3,0.2,0.3,1
1,-1.0,-0.6,174,-6,2,0.0,-89.95770727,0.5,0.2,-766.46,-765.54,-758.656,522.1,0:03:37,44.8,2,98.0,283.0,0,2:01:43,15:08:40,4/1/2022,34.808884,-104.886245,13SEU 10404 51855,8.6,12.2,356.1,1,0,19.2,33.7,-0.4,4.7,4.7,-5.4,5.4,0.0,105.04,0.0,0.0,0.0,1
1,-0.6,-0.8,176,-4,2,0.0,-89.95770727,-0.6,-0.9,-766.41,-765.54,-758.656,522.1,0:03:38,44.8,2,98.0,283.0,0,2:01:43,15:08:41,4/1/2022,34.808884,-104.886245,13SEU 10404 51855,100.0,100.0,356.1,1,0,19.2,33.7,-0.4,4.7,4.7,-5.4,5.4,0.0,105.04,0.0,0.0,0.0,1
1,-0.4,-1.0,177,-3,1,0.0,-89.95770727,0.1,-0.2,-766.85,-765.54,-758.656,522.1,0:03:39,44.8,2,98.0,283.0,0,2:01:43,15:08:42,4/1/2022,34.6278761,-103.0125861,13SFU 82185 33573,100.0,100.0,356.1,1,0,19.2,33.7,-0.4,4.7,4.7,-5.4,5.4,0.0,105.01,0.0,0.0,0.0,1
1,-0.2,-1.2,178,-2,1,0.0,-89.95770727,-0.1,-0.4,-766.66,-765.54,-758.656,522.1,0:03:40,44.8,2,98.0,283.0,0,2:01:43,15:08:43,4/1/2022,34.6278761,-103.0125861,13SFU 82185 33573,100.0,100.0,356.1,1,0,19.2,33.7,-0.4,4.7,4.7,-5.4,5.4,0.0,105.03,0.0,0.0,0.0,1
1,0.1,-1.4,179,-1,1,0.0,-89.95770727,-0.3,-0.7,-766.45,-765.54,-758.656,522.1,0:03:41,44.8,2,98.0,283.0,0,2:01:43,15:08:44,4/1/2022,34.6278761,-103.0125861,13SFU 82185 33573,100.0,100.0,356.1,1,0,19.2,33.7,-0.4,4.7,4.7,-5.4,5.4,0.0,105.03,0.0,0.0,0.0,1
1,0.2,-1.5,179,-1,0,0.0,-89.95770727,-0.5,-0.8,-766.87,-765.54,-758.656,522.1,0:03:42,44.8,2,98.0,283.0,0,2:01:43,15:08:45,4/1/2022,34.6278761,-103.0125861,13SFU 82185 33573,100.0,100.0,356.1,1,0,19.2,33.7,-0.4,4.7,4.7,-5.4,5.4,0.0,105.06,0.0,0.0,0.0,1
1,0.4,-1.6,180,0,1,0.0,-89.95770727,-0.2,-0.5,-766.9,-765.54,-758.656,522.1,0:03:43,44.8,2,98.0,283.0,0,2:01:43,15:08:46,4/1/2022,32.7564702,-107.2584992,13SBS 88419 26546,100.0,100.0,356.1,1,0,19.2,33.7,-0.4,4.7,4.7,-5.4,5.4,0.0,105.06,0.0,0.0,0.0,1
1,0.6,-1.8,180,0,0,0.0,-89.95770727,0.0,-0.4,-766.39,-765.54,-758.656,522.1,0:03:44,44.8,2,98.0,283.0,0,2:01:43,15:08:47,4/1/2022,32.7564702,-107.2584992,13SBS 88419 26546,100.0,100.0,356.1,1,0,19.2,33.7,-0.4,4.7,4.7,-5.4,5.4,0.0,105.06,0.0,0.0,0.0,1
1,0.7,-1.8,180,0,0,0.0,-89.95770727,-0.5,-0.9,-766.23,-765.54,-758.656,522.1,0:03:45,44.8,2,98.0,283.0,0,2:01:43,15:08:48,4/1/2022,32.7564702,-107.2584992,13SBS 88419 26546,100.0,100.0,356.1,1,0,19.2,33.7,-0.4,4.7,4.7,-5.4,5.4,0.0,105.06,0.0,0.0,0.0,1
1,0.8,-1.9,181,1,1,0.0,-89.95770727,-0.5,-0.8,-767.16,-765.54,-758.656,522.1,0:03:46,44.8,2,98.0,283.0,0,2:01:43,15:08:49,4/1/2022,32.7564702,-107.2584992,13SBS 88419 26546,100.0,100.0,356.1,1,0,19.2,33.7,-0.4,4.7,4.7,-5.4,5.4,0.0,105.1,0.0,0.0,0.0,1
1,1.0,-2.1,181,1,0,0.0,-89.95770727,-0.2,-0.6,-766.58,-765.54,-758.656,522.1,0:03:47,44.8,2,98.0,283.0,0,2:01:43,15:08:50,4/1/2022,32.7564702,-107.2584992,13SBS 88419 26546,100.0,100.0,356.1,1,0,19.2,33.7,-0.4,4.7,4.7,-5.4,5.4,0.0,105.1,0.0,0.0,0.0,1
1,1.1,-2.1,181,1,0,0.0,-89.95770727,-0.4,-0.8,-766.29,-765.54,-758.656,522.1,0:03:48,44.8,2,98.0,283.0,0,2:01:43,15:08:51,4/1/2022,32.7564702,-107.2584992,13SBS 88419 26546,100.0,100.0,356.1,1,0,19.2,33.7,-0.4,4.7,4.7,-5.4,5.4,0.0,105.12,0.0,0.0,0.0,1
